epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,228.505,0.79973,0.48808,0.96395,0.7968,0.588,0.69179,0.42952,1.24985,0.69376,1.22084,0.00154653,0.00154653,0.00154653
75,231.568,0.80091,0.47906,0.97557,0.81786,0.57807,0.69903,0.45268,1.0508,0.62853,1.03622,0.00154488,0.00154488,0.00154488
76,234.591,0.78993,0.46405,0.96493,0.72468,0.61362,0.67944,0.42831,1.13542,0.72487,1.14809,0.00154323,0.00154323,0.00154323
77,237.689,0.82042,0.48663,0.97199,0.7071,0.61803,0.68235,0.4245,1.10114,0.67178,1.10296,0.00154157,0.00154157,0.00154157
78,240.843,0.79769,0.47159,0.96028,0.66718,0.61391,0.69107,0.43108,1.03714,0.62973,1.03401,0.00153992,0.00153992,0.00153992
79,243.723,0.82271,0.49125,0.9526,0.72332,0.64218,0.70157,0.45243,1.09836,0.57106,1.1037,0.00153827,0.00153827,0.00153827
80,246.68,0.82116,0.49344,0.98195,0.73697,0.61438,0.71779,0.46172,1.09515,0.60426,1.08996,0.00153662,0.00153662,0.00153662
81,249.761,0.80119,0.48201,0.96381,0.75082,0.58771,0.70762,0.45713,1.10881,0.63153,1.09249,0.00153497,0.00153497,0.00153497
82,252.858,0.79839,0.4661,0.96888,0.70197,0.58775,0.6592,0.41462,1.14208,0.72719,1.19689,0.00153332,0.00153332,0.00153332
83,255.945,0.8156,0.50057,0.97299,0.74913,0.60856,0.70158,0.43767,1.27257,0.78228,1.34818,0.00153167,0.00153167,0.00153167
84,258.897,0.80825,0.48206,0.9787,0.70909,0.58942,0.67241,0.42066,1.11615,0.64342,1.1279,0.00153002,0.00153002,0.00153002
85,261.846,0.78209,0.5061,0.97723,0.73503,0.48684,0.64495,0.40907,1.12345,0.7755,1.12041,0.00152837,0.00152837,0.00152837
